PlaneId,PlaneCarrier,PlaneModel,PlaneCountry,DistanceFromGround
8,Vistara,McDonnell Douglas MD 11,Dominica,349
8,Vistara,McDonnell Douglas MD 11,Dominica,348
8,Vistara,McDonnell Douglas MD 11,Dominica,347
8,Vistara,McDonnell Douglas MD 11,Dominica,346
8,Vistara,McDonnell Douglas MD 11,Dominica,345
8,Vistara,McDonnell Douglas MD 11,Dominica,344
8,Vistara,McDonnell Douglas MD 11,Dominica,343
8,Vistara,McDonnell Douglas MD 11,Dominica,342
8,Vistara,McDonnell Douglas MD 11,Dominica,341
8,Vistara,McDonnell Douglas MD 11,Dominica,340
8,Vistara,McDonnell Douglas MD 11,Dominica,339
8,Vistara,McDonnell Douglas MD 11,Dominica,338
