PlaneId,PlaneCarrier,PlaneModel,PlaneCountry,DistanceFromGround
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,349
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,348
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,347
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,346
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,345
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,344
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,343
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,342
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,341
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,340
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,339
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,338
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,337
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,336
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,335
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,334
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,333
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,332
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,331
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,330
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,329
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,328
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,327
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,326
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,314
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,313
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,312
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,311
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,310
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,309
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,308
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,307
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,306
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,305
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,304
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,303
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,302
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,301
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,300
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,301
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,302
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,303
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,304
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,305
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,306
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,307
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,308
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,309
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,310
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,311
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,312
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,313
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,314
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,315
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,316
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,317
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,318
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,319
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,320
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,321
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,322
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,323
16,SunWing,Lockheed Martin C 130 Hercules,Morocco,324
16,SunWing,Lockheed Martin C 130 Hercules,Unknown,327
