PlaneId,PlaneCarrier,PlaneModel,PlaneCountry,DistanceFromGround
17,Flair,Airbus A380,Unknown,349
17,Flair,Airbus A380,Unknown,348
17,Flair,Airbus A380,Unknown,347
17,Flair,Airbus A380,Unknown,346
17,Flair,Airbus A380,Unknown,345
17,Flair,Airbus A380,Unknown,344
17,Flair,Airbus A380,Unknown,343
17,Flair,Airbus A380,Unknown,342
17,Flair,Airbus A380,Unknown,341
17,Flair,Airbus A380,Unknown,340
17,Flair,Airbus A380,Unknown,339
17,Flair,Airbus A380,Unknown,338
17,Flair,Airbus A380,Unknown,337
17,Flair,Airbus A380,Unknown,336
17,Flair,Airbus A380,Unknown,335
17,Flair,Airbus A380,Unknown,334
17,Flair,Airbus A380,Unknown,333
17,Flair,Airbus A380,Unknown,332
17,Flair,Airbus A380,Unknown,331
17,Flair,Airbus A380,Unknown,330
17,Flair,Airbus A380,Unknown,329
17,Flair,Airbus A380,Unknown,328
17,Flair,Airbus A380,Unknown,327
17,Flair,Airbus A380,Unknown,326
17,Flair,Airbus A380,Unknown,325
17,Flair,Airbus A380,Unknown,324
17,Flair,Airbus A380,Unknown,323
17,Flair,Airbus A380,Unknown,322
17,Flair,Airbus A380,Unknown,321
17,Flair,Airbus A380,Unknown,320
17,Flair,Airbus A380,Unknown,319
17,Flair,Airbus A380,Unknown,318
17,Flair,Airbus A380,Laos,298
17,Flair,Airbus A380,Laos,297
17,Flair,Airbus A380,Laos,296
17,Flair,Airbus A380,Laos,295
17,Flair,Airbus A380,Laos,294
17,Flair,Airbus A380,Laos,293
17,Flair,Airbus A380,Laos,292
17,Flair,Airbus A380,Laos,260
17,Flair,Airbus A380,Laos,259
17,Flair,Airbus A380,Laos,258
17,Flair,Airbus A380,Laos,257
17,Flair,Airbus A380,Laos,256
17,Flair,Airbus A380,Laos,255
17,Flair,Airbus A380,Laos,254
