PlaneId,PlaneCarrier,PlaneModel,PlaneCountry,DistanceFromGround
15,Frontier,McDonnell Douglas MD 11,Unknown,349
15,Frontier,McDonnell Douglas MD 11,Unknown,348
15,Frontier,McDonnell Douglas MD 11,Unknown,347
15,Frontier,McDonnell Douglas MD 11,Unknown,346
15,Frontier,McDonnell Douglas MD 11,Unknown,345
15,Frontier,McDonnell Douglas MD 11,Unknown,344
15,Frontier,McDonnell Douglas MD 11,Unknown,343
15,Frontier,McDonnell Douglas MD 11,Unknown,342
15,Frontier,McDonnell Douglas MD 11,Unknown,341
15,Frontier,McDonnell Douglas MD 11,Unknown,340
15,Frontier,McDonnell Douglas MD 11,Unknown,339
15,Frontier,McDonnell Douglas MD 11,Unknown,338
15,Frontier,McDonnell Douglas MD 11,Unknown,337
15,Frontier,McDonnell Douglas MD 11,Unknown,336
15,Frontier,McDonnell Douglas MD 11,Unknown,335
15,Frontier,McDonnell Douglas MD 11,Unknown,334
15,Frontier,McDonnell Douglas MD 11,Unknown,333
15,Frontier,McDonnell Douglas MD 11,Unknown,332
15,Frontier,McDonnell Douglas MD 11,Unknown,331
15,Frontier,McDonnell Douglas MD 11,Unknown,330
15,Frontier,McDonnell Douglas MD 11,Unknown,329
15,Frontier,McDonnell Douglas MD 11,Unknown,328
15,Frontier,McDonnell Douglas MD 11,Unknown,327
15,Frontier,McDonnell Douglas MD 11,Unknown,326
15,Frontier,McDonnell Douglas MD 11,Unknown,325
15,Frontier,McDonnell Douglas MD 11,Unknown,324
15,Frontier,McDonnell Douglas MD 11,Unknown,323
15,Frontier,McDonnell Douglas MD 11,Unknown,322
15,Frontier,McDonnell Douglas MD 11,Unknown,321
